Player,Team,Age,GP,W,L,MIN,%FGA2PT,%FGA3PT,%PTS2PT,%PTS2PTMR,%PTS3PT,%PTSFBPs,%PTSFT,%PTSOffTO,%PTSPITP,2FGM%AST,2FGM%UAST,3FGM%AST,3FGM%UAST,FGM%AST,FGM%UAST
Marvin Bagley III,DET,23,48,17,31,23.9,78.3,21.7,74.8,3.7,12.8,8.0,12.4,15.0,71.1,65.8,34.2,91.3,8.7,68.4,31.6
Mason Plumlee,CHA,32,73,40,33,24.6,99.4,0.6,86.0,1.3,0.0,12.8,14.0,15.3,84.7,77.6,22.4,0.0,0.0,77.6,22.4
Matisse Thybulle,PHI,25,66,43,23,25.5,52.0,48.0,55.4,0.0,35.6,21.4,9.0,20.3,55.4,73.3,26.7,95.6,4.4,80.0,20.0
Matt Thomas,CHI,27,40,23,17,11.5,32.1,67.9,24.8,23.6,65.2,3.7,10.0,11.8,1.2,85.0,15.0,88.6,11.4,87.3,12.7
Maurice Harkless,SAC,28,47,15,32,18.4,44.2,55.8,47.9,0.9,42.9,9.2,9.2,12.4,47.0,78.8,21.2,100,0.0,86.7,13.3
Max Strus,MIA,26,68,46,22,23.3,21.6,78.4,18.9,1.1,75.3,10.8,5.8,15.1,17.8,77.9,22.1,95.6,4.4,90.8,9.2
Maxi Kleber,DAL,30,59,36,23,24.6,28.0,72.0,28.2,1.5,60.6,5.1,11.2,12.2,26.8,84.5,15.5,98.8,1.2,92.9,7.1
Mikal Bridges,PHX,25,82,64,18,34.8,63.6,36.4,59.0,6.9,29.7,19.9,11.3,21.1,52.2,76.4,23.6,98.3,1.7,81.9,18.1
Mike Conley,UTA,34,72,44,28,28.6,47.7,52.3,35.5,2.8,51.4,4.7,13.1,12.8,32.7,25.7,74.3,52.1,47.9,38.7,61.3
Mike Muscala,OKC,30,43,15,28,13.8,34.3,65.7,25.0,5.2,61.0,4.9,14.0,10.8,19.8,81.4,18.6,100,0.0,92.9,7.1
Miles Bridges,CHA,24,80,41,39,35.5,61.7,38.3,54.8,2.7,28.6,10.5,16.6,14.6,52.1,59.7,40.3,82.5,17.5,65.6,34.4
Miles McBride,NYK,21,40,19,21,9.3,37.0,63.0,33.7,9.0,57.3,12.4,9.0,23.6,24.7,26.7,73.3,76.5,23.5,53.1,46.9
Mitchell Robinson,NYK,24,72,32,40,25.7,100,0.0,85.6,0.0,0.0,1.5,14.4,13.0,85.6,51.7,48.3,0.0,0.0,51.7,48.3
Mo Bamba,ORL,23,71,19,52,25.7,54.5,45.5,50.0,5.0,42.5,6.2,7.5,10.7,45.0,56.6,43.4,99.1,0.9,72.0,28.0
Monte Morris,DEN,26,75,44,31,29.9,59.4,40.6,52.9,19.5,39.4,13.4,7.7,13.9,33.4,47.2,52.8,93.5,6.5,62.6,37.4
Montrezl Harrell,CHA,28,71,36,35,23.1,96.9,3.1,76.0,4.3,1.3,9.9,22.7,12.2,71.7,65.3,34.7,100,0.0,65.6,34.4
Moritz Wagner,ORL,24,63,16,47,15.2,49.2,50.8,46.5,0.0,35.1,6.9,18.4,14.2,46.5,76.3,23.7,98.5,1.5,83.8,16.2
Moses Brown,CLE,22,40,19,21,8.6,100,0.0,74.9,0.0,0.0,9.4,25.1,14.0,74.9,81.3,18.8,0.0,0.0,81.3,18.8
Moses Moody,GSW,19,52,35,17,11.7,39.9,60.1,35.1,4.4,52.6,7.9,12.3,11.4,30.7,70.0,30.0,100,0.0,85.0,15.0
Myles Turner,IND,26,42,15,27,29.4,53.4,46.6,51.5,3.3,33.9,7.6,14.6,10.6,48.1,68.3,31.7,100,0.0,78.0,22.0
Naji Marshall,NOP,24,55,23,32,13.4,61.0,39.0,56.2,1.9,20.1,22.4,23.7,18.8,54.3,55.7,44.3,81.0,19.0,60.6,39.4
Nassir Little,POR,22,42,19,23,25.9,51.1,48.9,45.9,4.9,37.3,20.0,16.8,22.9,41.0,69.1,30.9,92.2,7.8,77.2,22.8
Naz Reid,MIN,22,77,42,35,15.8,65.1,34.9,55.3,0.0,26.8,5.3,17.9,14.6,55.3,62.5,37.5,98.2,1.8,71.2,28.8
Nemanja Bjelica,GSW,33,71,48,23,16.1,56.4,43.6,49.0,3.2,37.4,6.7,13.6,15.5,45.7,68.9,31.1,94.4,5.6,77.5,22.5
Nic Claxton,BKN,22,47,24,23,20.7,100,0.0,86.8,0.5,0.0,11.2,13.2,15.9,86.3,73.6,26.4,0.0,0.0,73.6,26.4
Nick Richards,CHA,24,50,25,25,7.3,100,0.0,80.0,2.7,0.0,13.3,20.0,12.7,77.3,78.3,21.7,0.0,0.0,78.3,21.7
Nickeil Alexander-Walker,UTA,23,65,29,36,22.6,50.3,49.7,42.8,5.8,45.5,11.4,11.7,16.2,37.0,39.9,60.1,87.6,12.4,59.7,40.3
Nicolas Batum,LAC,33,59,31,28,24.8,30.2,69.8,28.9,10.2,66.0,11.6,5.1,16.7,18.7,83.1,16.9,97.2,2.8,91.6,8.4
Nikola Jokic,DEN,27,74,46,28,33.5,78.0,22.0,66.6,6.8,14.5,6.4,18.9,11.1,59.8,58.0,42.0,91.8,8.2,62.3,37.7
Nikola Vucevic,CHI,31,73,41,32,33.1,71.3,28.7,68.6,14.6,24.2,3.9,7.2,12.0,54.0,71.3,28.7,100,0.0,76.7,23.3
Norman Powell,LAC,28,45,15,30,32.4,58.2,41.8,40.6,8.9,37.3,16.3,22.1,18.3,31.7,50.9,49.1,87.7,12.3,64.9,35.1
OG Anunoby,TOR,24,48,31,17,36.0,54.5,45.5,47.2,7.3,42.0,15.6,10.8,21.5,39.9,46.4,53.6,87.0,13.0,61.5,38.5
Obi Toppin,NYK,24,72,32,40,17.1,64.3,35.7,61.4,0.9,24.1,18.5,14.5,19.0,60.5,82.4,17.6,100,0.0,86.1,13.9
Omer Yurtseven,MIA,23,56,39,17,12.6,95.5,4.5,86.3,3.3,1.0,5.0,12.7,12.4,82.9,78.3,21.7,100,0.0,78.5,21.5
Onyeka Okongwu,ATL,21,48,26,22,20.7,100,0.0,79.6,0.0,0.0,4.1,20.4,11.7,79.6,79.5,20.5,0.0,0.0,79.5,20.5
Oshae Brissett,IND,23,67,19,48,23.3,53.2,46.8,40.8,1.3,40.6,16.2,18.6,13.2,39.5,67.2,32.8,96.4,3.6,78.8,21.2
Otto Porter Jr.,GSW,28,63,41,22,22.2,48.1,51.9,43.9,9.7,46.6,12.4,9.5,16.5,34.2,73.5,26.5,95.0,5.0,82.4,17.6
P.J. Tucker,MIA,36,71,45,26,27.9,54.9,45.1,47.1,4.1,44.5,4.1,8.4,16.0,43.0,81.9,18.1,98.8,1.2,88.4,11.6
P.J. Washington,CHA,23,65,33,32,27.2,43.4,56.6,41.9,0.6,49.4,11.7,8.7,15.7,41.3,79.3,20.7,97.3,2.7,87.2,12.8
Pascal Siakam,TOR,28,68,40,28,37.9,81.9,18.1,67.2,9.9,14.5,14.8,18.3,18.6,57.3,29.2,70.8,94.7,5.3,37.4,62.6
Pat Connaughton,MIL,29,65,41,24,26.0,25.4,74.6,25.1,1.6,67.9,11.3,7.0,14.1,23.6,77.8,22.2,95.2,4.8,89.0,11.0
Patrick Beverley,MIN,33,58,33,25,25.4,44.5,55.5,35.3,3.4,46.7,9.2,18.0,16.1,31.9,25.5,74.5,78.3,21.7,50.3,49.7
Patty Mills,BKN,33,81,44,37,29.0,28.5,71.5,21.0,10.4,73.8,12.7,5.2,12.0,10.6,61.9,38.1,92.5,7.5,83.3,16.7
Payton Pritchard,BOS,24,71,46,25,14.1,34.3,65.7,26.7,11.3,68.6,13.3,4.7,17.0,15.4,35.6,64.4,80.2,19.8,63.8,36.3
Precious Achiuwa,TOR,22,73,46,27,23.6,74.1,25.9,63.0,4.5,25.3,15.7,11.7,19.0,58.4,59.8,40.2,96.4,3.6,67.5,32.5
Quentin Grimes,NYK,21,46,21,25,17.1,19.6,80.4,16.7,5.8,78.5,15.3,4.8,23.3,10.9,60.9,39.1,95.8,4.2,87.4,12.6
R.J. Hampton,ORL,21,64,15,49,21.9,60.0,40.0,45.4,2.9,39.3,21.9,15.3,14.9,42.5,33.3,66.7,90.6,9.4,54.3,45.7
RJ Barrett,NYK,21,70,33,37,34.5,66.2,33.8,49.8,4.0,29.5,15.3,20.7,14.1,45.8,39.8,60.2,91.3,8.7,54.4,45.6
